source,index,point_count,span,mean_spacing,mu1,mu2,mu3,mu4_raw,mu4_gt2,q4_per_core,pair_part_per_core,three_index_part_per_core,reconstruction_relative_error,window_start
D1_near_1e12,15,512,511.28465080947353,1.0005570465938816,1.0,1.3312836513797093,1.9835090647887021,3.1860095852417203,0.08661665406493399,0.006917789233191453,2.0993929311767863,0.07969886483174253,0.0,9488
D2_near_1e21,0,512,511.9969769641612,1.00195103124102,1.0,1.3487914492954391,2.0403311534164077,3.330478428419118,0.1247193698277504,-0.0011190781357277996,2.205759058591367,0.1258384479634782,0.0,0
D2_near_1e21,1,512,510.2077517405635,0.9984496120167583,1.0,1.2911746294088369,1.8503987626261287,2.8533314478684972,0.021221546525416857,0.00709145382645672,1.8321099013430804,0.014130092698960137,1.5563884461505768e-16,633
D2_near_1e21,2,512,511.2024043265428,1.0003960945724908,1.0,1.3094149713198941,1.910432625618605,2.9944926470519215,0.04694387780405092,0.003001819747160739,1.9475487692478706,0.04394205805689018,0.0,1265
D2_near_1e21,3,512,510.34617708499877,0.9987205031017589,1.0,1.3617830116408642,2.0931445983999284,3.487010921701045,0.1797940619676357,-0.013397866033237935,2.3072168597334084,0.19319192800087365,0.0,1898
D2_near_1e21,4,512,510.75635998685493,0.9995232093676222,1.0,1.3084082237625578,1.908398086265941,2.996839827317565,0.05019821081725914,0.00014781462081550623,1.946641616500306,0.050050396196443636,0.0,2530
D2_near_1e21,5,512,511.606394430667,1.0011866818604052,1.0,1.3245106822569372,1.9633155554287705,3.140835593020121,0.08563571726776033,-0.0005115392877069053,2.055199875752361,0.08614725655546723,0.0,3163
D2_near_1e21,6,512,510.35499768710906,0.9987377645540295,1.0,1.3495314491415333,2.060465070560781,3.4032012202501547,0.18074219007415693,0.0056195465752365975,2.2224590301759974,0.17512264349892032,0.0,3795
D2_near_1e21,7,512,510.64018722223136,0.9992958654055408,1.0,1.3233054273864162,1.9688648853270472,3.1559487195455125,0.11085664138427212,-0.004455239623177995,2.0450920781612405,0.11531188100745011,0.0,4428
D2_near_1e21,8,512,509.97204378246806,0.9979883439970021,1.0,1.2954026910605743,1.863059528990409,2.8736387128374155,0.008943220247567607,-0.00016848042593999718,1.8646954925898482,0.009111700673507604,0.0,5060
D2_near_1e21,9,512,511.33323673037285,1.0006521266739195,1.0,1.288398881987542,1.846287650143505,2.8480056888974623,0.027522641613579063,-0.001426054779610622,1.8204830472838838,0.028948696393189685,0.0,5693
D2_near_1e21,10,512,511.01788509241214,1.0000350001808458,1.0,1.3725433446635504,2.140130228372497,3.6482584383498526,0.26551712578766284,-0.009359665335332473,2.3827413125621897,0.27487679112299535,0.0,6325
D2_near_1e21,11,512,509.8538699927367,0.997757084134514,1.0,1.3873158473527867,2.1811396885755094,3.709925227068861,0.22902250820849493,-0.005322272332291794,2.4809027188603663,0.23434478054078672,0.0,6958
D2_near_1e21,12,512,511.72092801920826,1.0014108180415033,1.0,1.3184094607647332,1.9463311713195843,3.086745835292397,0.07716331658977332,-0.005188496015974736,2.009582518702624,0.08235181260574806,0.0,7590
D2_near_1e21,13,512,511.3605172378593,1.0007055131856346,1.0,1.3473059832588599,2.0553316901487078,3.407656444483001,0.19920993064712172,-0.0046189137681667825,2.208446513835879,0.2038288444152885,0.0,8223
D2_near_1e21,14,512,510.65295148205587,0.9993208443875848,1.0,1.3403950554669801,2.02440488109222,3.320368942101978,0.14074698813888353,0.004989077554431329,2.179621953963095,0.1357579105844522,0.0,8855
D2_near_1e21,15,512,510.78787902353724,0.99958489045702,1.0,1.335133524671975,2.002165328042233,3.2484174231188008,0.11327966712251372,0.00661799746281172,2.1351377559962867,0.106661669659702,0.0,9488
CUE,0,512,510.39294101971797,0.9988120176511115,1.0,1.3282228213681164,1.9892529831353545,3.217676159018425,0.13355588566204896,0.001891232681085965,2.084120273356376,0.131664652980963,0.0,-1
CUE,1,512,510.71191553384256,0.999436233921414,1.0,1.3239253447653874,1.9587141943970754,3.1154710125077867,0.07345255001111536,-0.0007324276557901799,2.0420184624966717,0.07418497766690554,0.0,-1
CUE,2,512,511.4232455068223,1.0008282690935857,1.0,1.3030455095648317,1.8927645826076058,2.9710963126297134,0.05789160216327843,-0.004226999104616672,1.913204710466435,0.062118601267895104,0.0,-1
