u_center,empirical_pair_correlation,GUE_bin_average,pair_count,residual_empirical_minus_GUE
12.55,1.0262572758695327,0.9993773590032164,1025,0.0268799168663163
12.650000000000002,0.9742032476628799,0.9995001604801544,973,-0.02529691281727453
12.75,1.0022479099757917,0.9996881041347127,1001,0.002559805841079066
12.850000000000001,0.9521951121593061,0.9998703759044638,951,-0.04767526374515774
12.95,0.9902527829387276,0.9999804371178701,989,-0.009727654179142453
13.05,1.0343188764287414,0.9999808824341053,1033,0.03433799399463611
13.150000000000002,0.9592327267505877,0.9998766010836919,958,-0.040643874333104235
13.25,0.9932864242081834,0.9997116601360865,992,-0.006425235927903117
13.350000000000001,1.050370860742923,0.9995515716974278,1049,0.05081928904549515
13.45,0.9452431102860827,0.9994580378387095,944,-0.0542149275526268
13.55,0.9742910563589214,0.9994658768854032,973,-0.02517482052648179
13.650000000000002,1.0073449319023267,0.9995707285335113,1006,0.007774203368815402
13.75,0.9803186531855718,0.9997318375358178,979,-0.019413184350246082
13.850000000000001,1.0043610384689332,0.9998884311232307,1003,0.0044726073457025395
13.95,1.0564421812345193,0.9999831459636539,1055,0.056459035270865376
14.05,0.9963701403688174,0.9999835025048944,995,-0.003613362136076992
14.150000000000002,1.045448085172223,0.9998934151244391,1044,0.04555467004778391
14.25,0.9783649512926418,0.9997506957123515,977,-0.02138574441970975
14.350000000000001,1.0444676197957168,0.9996118827156638,1043,0.04485573708005297
14.45,0.9403306979973789,0.9995304511907935,939,-0.05919975319341464
14.55,1.0404828336168201,0.9995367776021841,1039,0.04094605601463608
14.650000000000002,1.0104501389450593,0.9996273425815959,1009,0.010822796363463394
14.75,0.9994443401107704,0.9997669782800715,998,-0.0003226381693011149
14.850000000000001,1.0455213849238272,0.9999029608425857,1044,0.045618424081241504
14.95,0.9874467539806558,0.9999853287871401,986,-0.012538574806484237
15.05,0.9904610766018775,0.9999856186658391,989,-0.009524542063961583
15.150000000000002,1.0285275171555763,0.9999070128721,1027,0.02862050428347629
15.25,0.9534255152355219,0.9997823093140794,952,-0.04635679407855753
15.350000000000001,0.9604456173439538,0.9996607968715849,959,-0.039215179527631094
15.45,0.9484370284733314,0.9995892646861808,947,-0.05115223621284937
15.55,1.0085381779879319,0.9995944438995777,1007,0.008943734088354138
15.650000000000002,1.0005359803514078,0.9996734530373061,999,0.0008625273141016354
15.75,1.0055537405521353,0.9997956383770076,1004,0.005758102175127733
15.850000000000001,1.018584061944746,0.9999148265707465,1017,0.01866923537399945
15.95,1.0185942653872146,0.9999871134651508,1017,0.018607151922063858
16.05,1.0085886925440954,0.9999873523161292,1007,0.008601340227966214
16.15,1.0015876822865566,0.9999181652403409,1000,0.0016695170462156517
16.25,0.9875753477522213,0.9998082698414232,986,-0.012232922089201903
16.35,1.0116238269551614,0.9997010147578456,1010,0.011922812197315835
16.450000000000003,0.9545417475316907,0.9996376823396668,953,-0.045095934807976024
16.55,1.0687368812070688,0.9996419757755141,1067,0.06909490543155472
16.65,0.9946263867671941,0.9997115061985948,993,-0.005085119431400775
16.75,0.9796116327241083,0.999819318673348,978,-0.020207685949239607
16.85,0.9345468402124775,0.9999246418807944,933,-0.06537780166831697
16.950000000000003,1.0397313381281654,0.9999885912518994,1038,0.039742746876266
17.05,1.0136981267931617,0.9999887903823302,1012,0.013709336410831496
17.15,0.9846593297528893,0.9999274252823303,983,-0.015268095529440973
17.25,0.9866725907698355,0.9998298489727795,985,-0.013157258202944
17.35,0.972658562568947,0.9997344819830278,971,-0.02707591941408083
17.450000000000003,1.0327713954246038,0.9996780173233826,1031,0.03309337810122126
17.55,1.0087402665785625,0.9996816159842654,1007,0.009058650594297113
17.65,0.9686808449062855,0.9997432755332509,967,-0.031062430626965454
17.75,1.0157727175874376,0.9998391094198805,1014,0.015933608167557067
17.85,1.0197899279204945,0.9999328533554791,1018,0.019857074565015398
17.950000000000003,1.0177966088578962,0.9999898286802971,1016,0.01780678017759918
18.05,1.0198103632632651,0.9999899964311443,1018,0.01982036683212085
18.15,0.9266542609515175,0.9999351981030344,925,-0.07328093715151696
18.25,0.9977912340150794,0.999847979918704,996,-0.0020567459036245905
18.35,1.0178374008822195,0.9997626289835593,1016,0.018074771898660247
18.450000000000003,0.9877930442988395,0.9997119734730591,986,-0.01191892917421955
