local_index,offset_text,absolute_gamma_decimal_string,theta_unfolded_relative_x
940,670.75715868,144176897509546973670.75715868,938.388674444473
941,670.91219525,144176897509546973670.91219525,939.4886711437299
942,671.00109194,144176897509546973671.00109194,940.1194001747891
943,671.08791205,144176897509546973671.08791205,940.7353957068699
944,671.28194642,144176897509546973671.28194642,942.1120848747377
945,671.52665384,144176897509546973671.52665384,943.8483033313487
946,671.63384380,144176897509546973671.63384380,944.6088245567181
947,671.91042319,144176897509546973671.91042319,946.571177155737
948,672.02061767,144176897509546973672.02061767,947.3530156876158
949,672.20602700,144176897509546973672.20602700,948.6685095160166
950,672.39694784,144176897509546973672.39694784,950.0231079428222
951,672.62749913,144176897509546973672.62749913,951.658887539916
952,672.69330006,144176897509546973672.69330006,952.1257503311144
953,672.78513551,144176897509546973672.78513551,952.7773300962936
954,672.88127761,144176897509546973672.88127761,953.4594658830929
955,673.01194032,144176897509546973673.01194032,954.3865281221243
956,673.10781781,144176897509546973673.10781781,955.0667864800913
957,673.31001342,144176897509546973673.31001342,956.5013802898243
958,673.45243155,144176897509546973673.45243155,957.5118481614646
959,673.62952286,144176897509546973673.62952286,958.7683249815276
960,673.75506198,144176897509546973673.75506198,959.659034945168
961,673.87788852,144176897509546973673.87788852,960.5304989396379
962,674.00488793,144176897509546973674.00488793,961.4315697760708
963,674.14865229,144176897509546973674.14865229,962.4515892558023
964,674.21507517,144176897509546973674.21507517,962.9228648313335
965,674.39671976,144176897509546973674.39671976,964.2116475323303
966,674.44338589,144176897509546973674.44338589,964.5427474074571
967,674.64875569,144176897509546973674.64875569,965.9998623457393
968,674.84327113,144176897509546973674.84327113,967.379964743222
969,674.91616870,144176897509546973674.91616870,967.8971787552699
970,675.18927568,144176897509546973675.18927568,969.8348943313047
971,675.28619742,144176897509546973675.28619742,970.5225617254313
972,675.44188557,144176897509546973675.44188557,971.6271814362093
973,675.55318699,144176897509546973675.55318699,972.416873794745
974,675.60823363,144176897509546973675.60823363,972.8074340496912
975,675.72330393,144176897509546973675.72330393,973.6238669092578
976,675.92276511,144176897509546973675.92276511,975.0390597223462
977,676.12566023,144176897509546973676.12566023,976.4786166107327
978,676.26680338,144176897509546973676.26680338,977.4800383986549
979,676.36093313,144176897509546973676.36093313,978.1478964033945
980,676.48840635,144176897509546973676.48840635,979.0523289591692
981,676.64310315,144176897509546973676.64310315,980.1499149634623
982,676.78453752,144176897509546973676.78453752,981.1534029802667
983,676.89316656,144176897509546973676.89316656,981.9241345918049
984,677.06490834,144176897509546973677.06490834,983.142656074346
985,677.13364982,144176897509546973677.13364982,983.6303822998555
986,677.22741218,144176897509546973677.22741218,984.2956336435516
987,677.43044901,144176897509546973677.43044901,985.7361959755715
988,677.51909056,144176897509546973677.51909056,986.3651147681958
989,677.77369663,144176897509546973677.77369663,988.171564927734
990,677.93649254,144176897509546973677.93649254,989.326614756639
991,678.01979807,144176897509546973678.01979807,989.9176740662576
992,678.17751042,144176897509546973678.17751042,991.0366556357804
993,678.34329871,144176897509546973678.34329871,992.2129366369368
994,678.45699317,144176897509546973678.45699317,993.0196078031254
995,678.51055469,144176897509546973678.51055469,993.3996310144696
996,678.66697230,144176897509546973678.66697230,994.5094263015147
997,678.96489373,144176897509546973678.96489373,996.6232023585952
998,679.02742375,144176897509546973679.02742375,997.0668577852114
999,679.25918506,144176897509546973679.25918506,998.711222569697
1000,679.31399521,144176897509546973679.31399521,999.10010490943
1001,679.44040175,144176897509546973679.44040175,999.9969692864249
1002,679.57325611,144176897509546973679.57325611,1000.939581455166
1003,679.70836021,144176897509546973679.70836021,1001.8981557067511
1004,679.78910125,144176897509546973679.78910125,1002.4710197574365
1005,680.08898639,144176897509546973680.08898639,1004.5987284919381
1006,680.22097181,144176897509546973680.22097181,1005.5351754628047
1007,680.32646122,144176897509546973680.32646122,1006.2836311517208
1008,680.50923753,144176897509546973680.50923753,1007.58044349543
1009,680.58023790,144176897509546973680.58023790,1008.0841967237556
1010,680.74048662,144176897509546973680.74048662,1009.2211740385926
1011,680.82493078,144176897509546973680.82493078,1009.8203120179192
1012,680.98621704,144176897509546973680.98621704,1010.9646507609363
1013,681.18511179,144176897509546973681.18511179,1012.3758247084734
1014,681.36756685,144176897509546973681.36756685,1013.6703577580803
1015,681.45143067,144176897509546973681.45143067,1014.2653781793078
1016,681.60452703,144176897509546973681.60452703,1015.3516089354981
1017,681.72969321,144176897509546973681.72969321,1016.2396728604068
1018,681.91967957,144176897509546973681.91967957,1017.5876410778656
1019,681.99175527,144176897509546973681.99175527,1018.0990238574035
1020,682.15329401,144176897509546973682.15329401,1019.2451539659457
1021,682.28208603,144176897509546973682.28208603,1020.1589435117969
1022,682.45498602,144176897509546973682.45498602,1021.3856825856911
1023,682.55742491,144176897509546973682.55742491,1022.1124945944678
1024,682.73257063,144176897509546973682.73257063,1023.3551672999396
1025,682.80744262,144176897509546973682.80744262,1023.8863899777039
1026,682.97654744,144176897509546973682.97654744,1025.0862020209427
1027,683.07609209,144176897509546973683.07609209,1025.7924791685127
1028,683.20663586,144176897509546973683.20663586,1026.7186975188579
1029,683.42462020,144176897509546973683.42462020,1028.2653136139486
1030,683.56796786,144176897509546973683.56796786,1029.2823765742953
1031,683.72824947,144176897509546973683.72824947,1030.4195872462778
1032,683.85153078,144176897509546973683.85153078,1031.2942778697873
1033,684.04466990,144176897509546973684.04466990,1032.6646151682542
1034,684.10991217,144176897509546973684.10991217,1033.1275142226646
1035,684.25303036,144176897509546973684.25303036,1034.142949075252
1036,684.51026165,144176897509546973684.51026165,1035.9680253778663
1037,684.62795044,144176897509546973684.62795044,1036.8030366306277
1038,684.71357156,144176897509546973684.71357156,1037.4105252340369
1039,684.88788112,144176897509546973684.88788112,1038.647265318321
1040,684.97378112,144176897509546973684.97378112,1039.256732597339
1041,685.14944501,144176897509546973685.14944501,1040.5030817598533
1042,685.26562764,144176897509546973685.26562764,1041.3274066885524
1043,685.33912503,144176897509546973685.33912503,1041.8488764708366
1044,685.54657285,144176897509546973685.54657285,1043.320735125011
1045,685.67950055,144176897509546973685.67950055,1044.26386764684
1046,685.82815051,144176897509546973685.82815051,1045.318550844131
1047,685.96650823,144176897509546973685.96650823,1046.300209786384
1048,686.07618765,144176897509546973686.07618765,1047.0783939269156
1049,686.22282617,144176897509546973686.22282617,1048.1188057986687
1050,686.35205764,144176897509546973686.35205764,1049.0357132769502
1051,686.46280121,144176897509546973686.46280121,1049.821447645712
1052,686.61236029,144176897509546973686.61236029,1050.8825811211486
1053,686.76414436,144176897509546973686.76414436,1051.9595010762262
1054,686.85920114,144176897509546973686.85920114,1052.6339364319747
1055,687.10488292,144176897509546973687.10488292,1054.3770680496798
1056,687.18364368,144176897509546973687.18364368,1054.9358818574863
1057,687.25159014,144176897509546973687.25159014,1055.4179673533547
