dataset,role,location_id,m,lambda,n_pos_res,n_neg_res,n_unres,p_pos_res,p_neg_res,p_unres,H_norm2_from_spectrum,epsilon_screen,min_abs_H_eigenvalue,trace_formula,trace_spectrum,trace_abs_error,frobH2_formula,frobH2_spectrum,frobH2_abs_error,npos_lower_bound_raw,b_pos_normalized,bound_slack_fraction
low_height_first_10000,primary,1,512,0.4,441,71,0,0.861328125,0.138671875,0.0,0.9973735137289985,1e-10,0.002305022784441668,307.2,307.20000000000005,5.684341886080802e-14,258.38556572586845,258.38556572586845,0.0,365.23650125302606,0.7133525415098165,0.14797558349018347
low_height_first_10000,primary,1,512,0.45,422,90,0,0.82421875,0.17578125,0.0,0.9970452029451233,1e-10,0.0015984383709677363,281.6,281.6,0.0,248.61923162180221,248.61923162180221,0.0,318.9558566435778,0.6229606575069879,0.20125809249301208
low_height_first_10000,primary,1,512,0.5,393,119,0,0.767578125,0.232421875,0.0,0.9967168921612481,1e-10,0.00277004476313647,256.0,256.0,0.0,243.7274464466694,243.7274464466694,0.0,268.8905207659495,0.5251767983709951,0.24240132662900493
low_height_first_10000,primary,1,512,0.55,382,130,0,0.74609375,0.25390625,0.0,0.996388581377373,1e-10,0.0015500896411425602,230.39999999999998,230.40000000000003,5.684341886080802e-14,243.71021020047,243.71021020046993,5.684341886080802e-14,217.81672567732912,0.42542329233853343,0.32067045766146657
low_height_first_10000,primary,1,512,0.6,366,146,0,0.71484375,0.28515625,0.0,0.9960602705934978,1e-10,0.00016273118703713507,204.8,204.80000000000004,2.842170943040401e-14,248.56752288320394,248.56752288320394,0.0,168.73901913448307,0.32956839674703725,0.38527535325296275
low_height_first_10000,primary,1,512,0.65,353,159,0,0.689453125,0.310546875,0.0,0.9957319598096226,1e-10,0.0010746379185582189,179.2,179.20000000000002,2.842170943040401e-14,258.29938449487133,258.2993844948713,5.684341886080802e-14,124.32333148140974,0.2428190067996284,0.4466341182003716
low_height_first_10000,primary,1,512,0.7,342,170,0,0.66796875,0.33203125,0.0,0.9954036490257474,1e-10,0.002838223103529547,153.60000000000002,153.60000000000002,0.0,272.905795035472,272.90579503547195,5.684341886080802e-14,86.4509307943916,0.16884947420779609,0.49911927579220394
low_height_first_10000,primary,1,512,0.75,333,179,0,0.650390625,0.349609375,0.0,1.0344790890598587,1.0344790890598587e-10,0.0002247348065536059,128.0,128.00000000000003,2.842170943040401e-14,292.38675450500614,292.3867545050061,5.684341886080802e-14,56.03537009649143,0.10944408221970982,0.5409465427802902
low_height_first_10000,primary,1,512,0.8,327,185,0,0.638671875,0.361328125,0.0,1.170111028330516,1.170111028330516e-10,0.01154922178130069,102.39999999999998,102.39999999999999,1.4210854715202004e-14,316.7422629034737,316.7422629034736,1.1368683772161603e-13,33.1050233204765,0.06465824867280566,0.5740136263271943
low_height_first_10000,primary,1,512,0.85,316,196,0,0.6171875,0.3828125,0.0,1.305742967601173,1.305742967601173e-10,0.0013918087741064955,76.80000000000001,76.80000000000007,5.684341886080802e-14,345.9723202308745,345.97232023087446,5.684341886080802e-14,17.048300268830708,0.03329746146255998,0.58389003853744
low_height_first_10000,primary,1,512,0.9,311,201,0,0.607421875,0.392578125,0.0,1.4413749068718302,1.4413749068718303e-10,0.01199257928906583,51.19999999999999,51.200000000000045,5.684341886080802e-14,380.0769264872089,380.07692648720877,1.1368683772161603e-13,6.8971300737147505,0.013470957175224122,0.5939509178247758
low_height_first_10000,primary,1,512,0.95,306,206,0,0.59765625,0.40234375,0.0,1.5770068461424875,1.5770068461424875e-10,9.688390934348146e-05,25.600000000000023,25.60000000000005,2.842170943040401e-14,419.0560816724766,419.0560816724764,1.7053025658242404e-13,1.5638956900098484,0.003054483769550485,0.5946017662304495
low_height_first_10000,primary,2,128,0.1,128,0,0,1.0,0.0,0.0,0.999835392783249,1e-10,0.7266090186281062,115.2,115.19999999999999,1.4210854715202004e-14,104.8542183626451,104.8542183626451,0.0,126.56658174782487,0.9888014199048818,0.011198580095118205
low_height_first_10000,primary,2,128,0.15,128,0,0,1.0,0.0,0.0,0.9997530891748734,1e-10,0.5899135279421592,108.8,108.80000000000001,1.4210854715202004e-14,95.12199131595146,95.12199131595148,1.4210854715202004e-14,124.44482959446752,0.9722252312067775,0.027774768793222493
low_height_first_10000,primary,2,128,0.2,128,0,0,1.0,0.0,0.0,0.9996707855664979,1e-10,0.45321803725621235,102.4,102.39999999999999,1.4210854715202004e-14,86.61687345058039,86.61687345058039,0.0,121.05909140189291,0.9457741515772884,0.05422584842271161
low_height_first_10000,primary,2,128,0.25,128,0,0,1.0,0.0,0.0,0.9995884819581223,1e-10,0.31652254657026546,96.0,96.0,0.0,79.33886476653184,79.33886476653186,1.4210854715202004e-14,116.15996809532949,0.9074997507447616,0.09250024925523836
low_height_first_10000,primary,2,128,0.3,128,0,0,1.0,0.0,0.0,0.9995061783497468,1e-10,0.17982705588431858,89.6,89.6,0.0,73.28796526380586,73.28796526380586,0.0,109.54267827060008,0.8558021739890631,0.1441978260109369
low_height_first_10000,primary,2,128,0.35,128,0,0,1.0,0.0,0.0,0.9994238747413713,1e-10,0.04313156519837169,83.2,83.20000000000002,1.4210854715202004e-14,68.46417494240242,68.46417494240242,0.0,101.10747709767256,0.7899021648255669,0.21009783517443315
low_height_first_10000,primary,2,128,0.4,112,16,0,0.875,0.125,0.0,0.9993415711329957,1e-10,0.01834553138542494,76.8,76.79999999999998,1.4210854715202004e-14,64.86749380232153,64.86749380232152,1.4210854715202004e-14,90.9275147576136,0.7103712090438562,0.1646287909561438
low_height_first_10000,primary,2,128,0.45,103,25,0,0.8046875,0.1953125,0.0,0.9992592675246202,1e-10,0.001248947022419955,70.4,70.4,0.0,62.497921843563184,62.49792184356319,7.105427357601002e-15,79.3011968046814,0.6195406000365734,0.1851468999634266
low_height_first_10000,primary,2,128,0.5,100,28,0,0.78125,0.21875,0.0,0.9991769639162447,1e-10,0.020665449040571993,64.0,64.0,0.0,61.35545906612739,61.35545906612739,0.0,66.75852584829384,0.5215509831897956,0.25969901681020435
low_height_first_10000,primary,2,128,0.55,95,33,0,0.7421875,0.2578125,0.0,0.9990946603078691,1e-10,0.0031984577318320273,57.599999999999994,57.6,7.105427357601002e-15,61.440105470014146,61.44010547001414,7.105427357601002e-15,53.9999073019045,0.4218742757961289,0.3203132242038711
low_height_first_10000,primary,2,128,0.6,89,39,0,0.6953125,0.3046875,0.0,0.9990123566994936,1e-10,0.014172874566864335,51.2,51.2,0.0,62.75186105522344,62.75186105522344,0.0,41.77469729054024,0.3263648225823456,0.3689476774176544
low_height_first_10000,primary,2,128,0.65,89,39,0,0.6953125,0.3046875,0.0,0.998930053091118,1e-10,0.020662147046353718,44.8,44.8,0.0,65.29072582175529,65.29072582175529,0.0,30.74004729981484,0.24015661952980344,0.45515588047019656
low_height_first_10000,primary,2,128,0.7,86,42,0,0.671875,0.328125,0.0,0.9988477494827426,1e-10,0.00442910679292885,38.400000000000006,38.400000000000006,0.0,69.05669976960968,69.05669976960968,0.0,21.352888350000786,0.16681944023438114,0.5050555597656189
low_height_first_10000,primary,2,128,0.75,83,45,0,0.6484375,0.3515625,0.0,1.0504323602892036,1.0504323602892037e-10,0.007413154445582548,32.0,32.0,0.0,74.04978289878662,74.04978289878662,0.0,13.828534803398854,0.10803542815155355,0.5404020718484465
low_height_first_10000,primary,2,128,0.8,81,47,0,0.6328125,0.3671875,0.0,1.1871278509751506,1.1871278509751508e-10,0.055451177122638695,25.599999999999994,25.599999999999994,0.0,80.26997520928614,80.26997520928612,2.842170943040401e-14,8.164447519652198,0.0637847462472828,0.5690277537527172
low_height_first_10000,primary,2,128,0.85,81,47,0,0.6328125,0.3671875,0.0,1.3238233416610972,1.323823341661097e-10,0.027875387619114567,19.200000000000003,19.20000000000001,7.105427357601002e-15,87.71727670110815,87.71727670110815,0.0,4.202592851304776,0.03283275665081856,0.5999797433491815
