dataset,role,m,lambda,p_pos_mean,p_pos_sd_location,p_neg_mean,p_neg_sd_location,p_unres_mean,b_pos_mean,b_pos_sd_location,min_abs_H_eig_min,n_unres_total,bound_slack_mean
near_1e12,secondary_control,512,0.1,1.0,0.0,0.0,0.0,0.0,0.9884791142595425,0.00010732758655487474,0.661299240220359,0,0.011520885740457489
near_1e12,secondary_control,512,0.15,1.0,0.0,0.0,0.0,0.0,0.9714396665026948,0.00026144691615540694,0.49194886033053853,0,0.028560333497305294
near_1e12,secondary_control,512,0.2,1.0,0.0,0.0,0.0,0.0,0.9442834534243463,0.0004956848413658403,0.3225984804407179,0,0.0557165465756537
near_1e12,secondary_control,512,0.25,1.0,0.0,0.0,0.0,0.0,0.9050627678249538,0.0008093030260432688,0.15324810055089744,0,0.09493723217504621
near_1e12,secondary_control,512,0.3,0.999755859375,0.0009765625000000059,0.000244140625,0.0009765624999999999,0.0,0.8522255220351568,0.001185725383125525,0.011865546467114907,0,0.14753033733984317
near_1e12,secondary_control,512,0.35,0.9732666015625,0.004769185721513582,0.0267333984375,0.004769185721513585,0.0,0.785102337095601,0.0015877343443624456,5.232807106736459e-06,0,0.1881642644668991
near_1e12,secondary_control,512,0.4,0.88525390625,0.0038735611407925874,0.11474609375,0.0038735611407925844,0.0,0.7044356986243203,0.001958217616854703,7.054569729403326e-05,0,0.18081820762567963
near_1e12,secondary_control,512,0.45,0.8214111328125,0.005429956809118575,0.1785888671875,0.005429956809118579,0.0,0.6127601722223239,0.0022302423731381184,1.6899094035238704e-05,0,0.20865096059017607
near_1e12,secondary_control,512,0.5,0.781005859375,0.005330993774982887,0.218994140625,0.005330993774982881,0.0,0.5143950613469952,0.0023461463902221687,0.00012300416313293372,0,0.2666107980280048
near_1e12,secondary_control,512,0.55,0.7462158203125,0.0052634816321140065,0.2537841796875,0.005263481632114014,0.0,0.4149020001816154,0.0022784540846345395,9.036737438750109e-05,0,0.3313138201308846
near_1e12,secondary_control,512,0.6,0.7154541015625,0.004141285201887505,0.2845458984375,0.004141285201887499,0.0,0.32009875391143744,0.002041277848233441,0.00022994534487863483,0,0.39535534765106256
near_1e12,secondary_control,512,0.65,0.6912841796875,0.0035278109117555323,0.3087158203125,0.003527810911755549,0.0,0.23496964252775276,0.0016849981804234243,1.657936111920666e-05,0,0.45631453715974724
near_1e12,secondary_control,512,0.7,0.6727294921875,0.005748461973734925,0.3272705078125,0.005748461973734935,0.0,0.16287770069302376,0.0012774296680499282,0.0004943097126364204,0,0.5098517914944762
